,Review_Date,Author,Rating,Review_Title,Review,Review_Url
10,12 November 2022,RussHog,6," Namor was great - should have been his movie
",Wakanda Forever tells the story of how Wakanda got a new Black Panther in a war with the Atlantis (or whoever they were). The film's best parts are the underwater beings who attack Wakanda. Prince Namor is really cool and the actor who plays him has great screen presence. His underwater people are a lot of fun to see in action.,/review/rw8670186/?ref_=tt_urv
11,11 November 2022,cthirlby,8," Empty
","Obviously this movie is a huge thing. Chadwick is a legend and will always be seen as the black panther. This movie was just so filler and boring with a pace that's way too slow for a 2 hour+ film. It's not a bad film it's just a long slog of a movie. Nothing big happens in the movie at all apart from the mantle passing of black panther, it's very empty. Compared to the first black panther it's a completely different tone and pace to it which wouldn't be a bad thing if the story was engaging. Shuri becoming the new black panther I expected due to comic knowledge and I'm happy with that and I thought her story was decent along with showing her dark side especially in her fight with Namor. All the performances were great and I liked Riri Williams as an addition to the MCU, whilst some of her scenes were stale and the suit looked like trash I'll stay open minded for her show. Namor was okay, he was cool to watch. Namor and his people let the story down as it was built up to be this huge war but ultimately led to nothing but boring and ugly fight scenes between everyone and this was in the whole movie too! Namor was interesting just a poorly written character mostly which was unfortunate. The post credit scenes were underwhelming and they did a fast and furious by naming a child after the character/person that died which was fine I guess but unnecessary. The comedy was great though even though it lacked which is what made it rewarding when it happened. The scenes honouring Chadwick were fantastic though leaving me to tear up with how connected I was along with the world to this person and character. Those scenes were special. Also the film ended the same as it started with empty threats of war between the two groups leaving no hype for the future and the overwhelming feeling of being unrewarding. Overall Black Panther Wakanda Forever pays a beautiful and emotional tribute to Chadwick but lacks heavily in a well written or engaging story.",/review/rw8670186/?ref_=tt_urv
12,15 November 2022,arman_pp,6," Long, boring, uninteresting
","One of the most boring marvel movies to this day. Forgettable action scenes, poor dialogues, 5 year old humour. The graphics and cinematography are cool and well made and the music well fitting. There is more weight put on ""diversity"" and ""feminism"" than the actual scenario.",/review/rw8670186/?ref_=tt_urv
13,16 November 2022,akhil027,3," Very weak and mediocre movie
","We have reached a point at which people will watch anything that has the tag ""Marvel"" on it. I kept fighting to prevent myself from falling asleep during the first hour. It's incredibly slow and nothing interesting happens. Namor and Talokans could be terrifying but couldn't reach their full potential.",/review/rw8670186/?ref_=tt_urv
14,5 December 2022,Darwinskid,," Frustrating.
","Black Panther: Wakanda Forever has ambitious goals but does not manage to meet them due to its overlong and sometimes unfocused screenplay that often feels very first draft level in craft and trying to have one too many political conversations to streamline linearly. It has its moments, with some very solid dramatic acting work by its performers, but on the whole it is an admirable effort but also a major step down in quality from its predecessor. I personally feel they should have waited on a sequel, and take more time to figure out what to do with the Black Panther and Wakanda as the Marvel Cinematic Universe was progressing post Endgame and after the unfortunate passing of Chadwick Boseman. The loss of T'Challa is seriously felt in this story, and I think most would have been fine with a recast just a few years later, the new actor might not have been on Mr. Boseman's level, but they could have still performed the part well and carry the franchise further. As is, the mantle gets passed, and its executed just okay, but it would have more impact if the story were more focused. Namor is a nice addition to the Marvel Cinematic Universe, and is adapted fine, I would certainly like to see more of him in later installments. Still, you feel that the character probably should have come into the picture a lot earlier on, like in Phase Two or Phase Three at the least.",/review/rw8670186/?ref_=tt_urv
15,11 November 2022,tpark-46368,6," Overblown and Oversaturated Airplane Movie
","At this point, Marvel is getting too saturated for its own good. The movie's beginning and the end is good, but the middle is too slow and crammed with corporate-mandated plot requirements, so much so that the writers didn't know what to do.",/review/rw8670186/?ref_=tt_urv
16,9 November 2022,Matt-Canalcon,8," A big challenge that Ryan Coogler overcame!
","I want to start by saying I haven't been the biggest fan of this Phase 4 by Marvel that started with Black Widow in 2020, it's been hit & miss for me so I was nervous for the sequel to Black Panther. I'm happy to report that Black Panther: Wakanda Forever is a success. I think Ryan Coogler and his team hit a home run with Wakanda Forever by paying tribute to Chadwick Boseman and moving the story forward respectfully.",/review/rw8670186/?ref_=tt_urv
17,27 November 2022,fredschaefer-406-623204,6," Chadwick Boseman is sorely missed.
","If there is one thing BLACK PANTHER: WAKANDA FOREVER gets right is the reverence and respect it gives to the memory of Chadwick Boseman, taken from us way too soon after making the role of T'Challa, the Black Panther, totally and uniquely his own. From the opening montage, where he is the only Marvel superhero whose visage we see, onward throughout the film, his shadow looms over the characters, story, and action. We feel his missing presence in every scene. It is clear that director Ryan Coogler, the returning members of the cast from the first film, and the producers where dealt a very difficult hand when crafting a sequel and finding a way forward. Perhaps it was an impossible chore, perhaps there was no way they could have succeeded under these conditions, but the resulting film was just a disappointment as far as I'm concerned. In the absence Boseman, WAKANDA FOREVER fills the void by elevating the principle female characters to center stage, and having them face off against a threat from Prince Namor, the leader of an undersea race heretofore unknown to the MCU over the issue of vibranium, an all purpose element found in abundance in Wakanda (and the source of its technological superiority), and now for the first time, discovered outside the African nation on the ocean's floor. Coveted by other nations, this sets off a conflict when Namor demands that Wakanda do his dirty work for him, and eliminate the threat from the surface world. I don't fault the actresses-Letitia Wright, Lupita Nyong'o, Danai Gurira, and the indomitable Angela Bassett-who totally give it their all, and clearly bring it. But the script goes heavy on the themes of female empowerment, anti-colonialism, and Afro-futurism that earn praise from mainstream film critics and pop culture commentators at the expense of the tension and conflict, and even humor that made the first film something special. A cameo by Michael B. Jordan's Killmonger in a dream sequence only served as a further reminder of what WAKANDA FOREVER was missing. At a running time of more than two and half hours, WAKANDA FOREVER works way too hard to generate some heat with its thin plot. Namor is played by Tenoch Huerta as another antagonist motivated by past injustice, so he never really feels like a Big Bad. And those wings on his heels look silly. Tweaking Namor's origin to make him and his undersea kingdom have a connection to the ancient Mayans, who escape Spanish oppression by ingesting vibranium, works, but giving all of them but Namor blue skin invokes unflattering comparisons to AVATAR (it didn't help that the trailer for James Cameron's latest epic played in the theater before WAKANDA FOREVER). There are some great action set pieces, something the MCU does well, but the resolution of the final battle between Princess Shuri and Namor is underwhelming. There are a few cameos, and I liked the interplay between Martin Freeman and Julia Louis-Dreyfuss. And was I the only one who thought Richard Schiff was just playing an older version of his character from THE WEST WING when he shows up as the Secretary of State?",/review/rw8670186/?ref_=tt_urv
18,9 November 2022,MiroslavKyuranov,8," Extremely Emotional Movie About Loss, Legacy And Healing!
","""Wakanda Forever"" is MCU's 30-th movie and is phenomenal! The most powerful project of Phase 4. I can not understate how masterful the score is from start to finish. There are no weak links in the cast, but I have to give a special shoutout to Angela Basset and Letitia Wright's Shuri. Letitia is quite the beating heart of this film. And Tenoch Huerta? They couldn't have found a better Namor.""",/review/rw8670186/?ref_=tt_urv
19,9 November 2022,eddie_baggins,7," Unlikely to make the same impact as the original, Wakanda Forever is a mature and effective Marvel outing
","A cultural phenomenon that was the rare type of film that struck a chord with critics, audiences, box office booths and the awards circuits, 2018's Black Panther was one of the most resounding success stories of the Marvel cinematic universe, with it always going to be a tough task for returning director Ryan Coogler to strike the same gold he did with his beloved first foray into the Marvel world.",/review/rw8670186/?ref_=tt_urv
20,9 November 2022,3xHCCH,9," Women of Will and Worth
","Immediately prominent in this sequel are the strong stories given to its cast of talented black actresses. Angela Bassett as Ramonda, Letitia Wright as Shuri, Danai Gurira as Okoye, and Lupita Nyong'o as Nakia all give powerful performances as their roles were expanded from the original movie. Two new actresses joined their ranks -- Michaela Coel as Aneka, and Dominique Thorne as Riri, both stepping up in their hero game.",/review/rw8670186/?ref_=tt_urv
21,18 December 2022,ObsessiveCinemaDisorder,7," Marvel's emotional meta-eulogy to the late Chadwick Boseman that also sets up future Marvel shows on DisneyPlus
","Black Panther: Wakanda Forever, at its heart, is a meditative film about loss and grief that acts as a meta-eulogy for late actor Chadwick Boseman.",/review/rw8670186/?ref_=tt_urv
22,10 November 2022,rannynm,10," The Beautifully Crafted Film Is Heart Wrenching, But Showcases The Power Of Identity, Culture, Family And Pride
","The beautifully crafted film, Black Panther: Wakanda Forever is heart wrenching, but also showcases the power of identity, culture, family and pride. The costumes are intricate and gorgeous; the music is moving; and the acting is just spectacular. I felt captivated during every moment of the film, and the nearly realistic world of Wakanda made me feel like I was there myself, even though it is futuristic and fictional.",/review/rw8670186/?ref_=tt_urv
23,11 November 2022,AfricanBro,7," For Honor, For Legacy, For Wakanda!
","The first black panther was mostly focused on Wakandan affairs, this one really expands that but despite the wider scope it is one of the most intimate movies in the MCU so far. Less action and more about honoring Black Panther's death, if felt more real considering Chadwick himself passed; it was also more political handling the passing of power and as I did my best to avoid spoilers and teaser trailers, I've found out the big secret was already revealed in a leak. I'll try avoiding the spoilers.",/review/rw8670186/?ref_=tt_urv
24,20 November 2022,dallorens426,3," What????
","This movie is so bad it's hard to focus my editorial! The first Black Panther movie had many problems and some very horrible scripting but this next movie is so bad that I don't know where to begin. I hope that this movie quietly sails off into the horizon and then falls off the edge of the earth. Don't waste precious time on this tripe! It's a shame Chad Bozeman passed away so young he was perhaps the only socially redeeming quality of the first movie. The clearly racist anti male anti family over tones are just disgusting. Is this the best we can hope for now from the Marvel universe, really? Run away from this one you will regret the lost time.",/review/rw8670186/?ref_=tt_urv
25,11 November 2022,SureCommaNot,," Bad editing ruined it; the stellar score and wardrobe couldn't save it
","This film and its prequel both had exceptional visual design, particularly in the diverse wardrobe styles displayed, and throught-provoking instrumentation in the score. The score was particularly captivating this time around. But none of this could save the film from its pacing, clarity and consistency issues.",/review/rw8670186/?ref_=tt_urv
26,12 November 2022,plowrie85,6," It's fine, I guess?
","First off, it's long. There's minimal action. The action there is is disappointing. So we have a fairly boring movie. I get the intention to focus on the emotional notes in the wake of CB's death, but it just didn't hit me in my feels. My husband cried. A lot. I remain unmoved. The visuals appear very muted when compared to first movie. Bizarre inclusion of naming conventions/explanations à la Solo movie. We get even more characters getting nano suits. Really? I know it's hard to come up with new ideas, but we've seen more than enough of these at this point.",/review/rw8670186/?ref_=tt_urv
27,12 November 2022,brentsbulletinboard,9," A Fitting Tribute
","At the risk of overstatement, it's hard not to be blown away by writer-director Ryan Coogler's ""Black Panther: Wakanda Forever."" This is a vast improvement over its predecessor offering (2018), if not the best picture to ever come out of the Marvel Universe. It's the kind of film that shows comic book movies can indeed go beyond action sequences and endless explosions to offer viewers something more meaningful and substantial, a result capable of silencing critics like filmmaker Martin Scorsese, who blanketly contend that these releases are without artistic merit. What's more, this second outing in the franchise has undoubtedly saved it from oblivion after losing its lead character in the wake of its initial outing with the untimely death of protagonist Chadwick Boseman. In addition to telling a compelling story, this film provides a credible bridge to the future while fittingly serving as a respectful tribute to its fallen star, one that honors the actor in a way that the movie industry unfortunately never did. Its tactful, reverential treatment of this issue is sure to evoke an emotional response, if not a few tears, in a truly loving but not maudlin way. Beyond that, the narrative and character development in this installment are also a significant cut above the original, telling a more engaging story with deftly nuanced themes that make its predecessor look comparatively simple. It also features fine performances by its ensemble cast, particularly Letitia Wright, Lupita Nyong'o, Danai Gurira, and, most notably, Angela Bassett in a genuinely Oscar-worthy portrayal. But what's most impressive is the film's handling of its principal themes, delving into concepts that action-adventure offerings rarely, if ever, do, and certainly not as capably addressed as here (making pictures like ""The Woman King"" appear somewhat amateurish by comparison). To be sure, there are a few elements that might have been handled better (the picture is a little too long, it underutilizes the talents of Winston Duke, and there are a few too many James Cameron-esque graphic and cinematic attributes reminiscent of ""Avatar"" (2009) and ""The Abyss"" (1989)), but these are minor shortcomings in comparison to everything else the picture has to offer. Of course, it's impossible to talk about this release without noting that it probably wouldn't have the same onscreen impact were it not for the tragic offscreen story that has sadly accompanied it, though the filmmakers truly deserve praise for their sensitive handling of this matter without giving in to cheap exploitation or sensationalism, results that may very well have occurred in lesser-skilled hands. It's truly comforting to see that the ""Black Panther"" franchise has managed to weather this storm and to do so as well as it has. Wakanda Forever indeed.",/review/rw8670186/?ref_=tt_urv
28,20 November 2022,kgprophet,6," Should Have Been a Series
","There is a huge amount story to tell in this very large scope world of Wakanda. Lots of characters with lots of goals to obtain. All the major characters are quite emotionally driven I must say. With so much to accomplish, the audience has a lot to digest in one long sitting. This type of ensemble setting with kingdoms and leaders and betrayals works better as a ""Game of Thrones"" type of series. It would also give the audience more time to appreciate the production design and costumes. The appealing look of the film helped to give the character performances more impact. The story rightly avoids being about the missing main character, the now deceased Black Panther. His absence draws the movie's attention to the supporting characters, and they are given a lot to do.",/review/rw8670186/?ref_=tt_urv
29,11 November 2022,harry-34518,9," Tender, human, tragic and Beautiful
","The biggest compliment I can give this film is just how human it feels, you can feel the grief and sadness pouring through every shot. But perhaps the best part of this movie is the grief isn't used to make it good the story is compelling, Namor is a great villain and Shuris arc in the course of this movie was amazing and some of marvels best character arc. Seeing wakanda vs Tolkan (sorry if misspelled) was thrilling and both sides had really good points and arguments. The performances across the board were perfect and riri made a great addition to the movie. I do have some issues with the movie however the action at points can be a bit generic and in the third act there's a montage used to try and get the characters ready for the final battle and feels a bit lazy. But aside from that this has to be one of the better marvel movies and worthy successor to the original black panther.",/review/rw8670186/?ref_=tt_urv
30,17 November 2022,bendjowen,7," Not the Black Panther we were promised
",The movie is fine overall but it's so very long.,/review/rw8670186/?ref_=tt_urv
31,28 November 2022,Sleepin_Dragon,8," An impressive second movie.
","The King of Wakanda is dead, and its people face a new threat.",/review/rw8670186/?ref_=tt_urv
32,16 November 2022,Rainman53929,7," Loved it BUT....
",I loved this film in so many ways. Tribute was done perfectly and villain casting was a bullseye. Story was great as well but I feel Nakia should have been the new Black Panther. As a spy with more fight experience and seasoned in the game would have made a far better fit. I didn't find final climax between Namar & Panther wasn't believable at all. He had decades of fight experience which showed easily in his fight choreography and she was by far outmatched but the film did require she be victorious but wasn't done in a way could believe. Leaving sister as tech genius would have made for a better story. That's the only issue I had with this project/film and why I rated it a 7.5/10..,/review/rw8670186/?ref_=tt_urv
33,12 November 2022,Carycomic,10," My fears that it would be inferior to the first film were groundless.
","This sequel begins with a montage of images featuring the late, great Chadwick Boseman as T'Challa. After which, we get an opening sequence that alternates between a special meeting of the United Nations in Geneva, Switzerland, and a Wakandan cultural outreach center in Mali, North Africa.",/review/rw8670186/?ref_=tt_urv
34,18 December 2022,silicontourist,6," A Boring Waste Of Time As Its A Lousy Storyline That Had No Depth To It Whatsoever!
","The only reason this is scoring a five from me is because of the good CGI, magnificent costumes and wonderful scene shots. Sadly none of that could save this terrible story which the director made it look like he was clueless as what to do with it. Not his fault really as it was woefully lacking in worth, tension, excitement, interest or quality in any way. My personal thoughts as I sat watching it (fighting hard with myself not to just switch it off) was that if they had no creative outstanding story for a sequel then Hollywood should have stopped just trying to cash in on what they thought would be a successful film franchise; whereas instead they made one of the most disappointing rubbish sequels of a film.",/review/rw8670186/?ref_=tt_urv
35,12 November 2022,RogerRoger77,5," Talocan forever!
","Enough has been said by other reviewers about the film's overall weaknesses - it's overlong, meandering and drags in many places. Instead, I want to focus on a question no one else seems to be asking: what is up with these Wakandans?",/review/rw8670186/?ref_=tt_urv
36,10 November 2022,wolfstor,," Well... it's not what I expected
","Saw this the other night at the movies. The cinema was packed with joyous Marvel fans who have obviously enjoyed the first Black Panther movie. The first 30 minutes into the movie, the audience vibes cooled off noticeably. After 2h41, most people stood up and quickly left the theater, more than half of the crowd not even caring for the end credit scene. Well, that tells you something...",/review/rw8670186/?ref_=tt_urv
37,14 November 2022,southdavid,7," Namor the merrier.
","Hmm.... I think maybe the problem is me. I need to stop going to see Marvel movies expecting them to change my life as when, like ""Wakanda Forever"", they're just fine, I come away feeling underwhelmed.",/review/rw8670186/?ref_=tt_urv
38,11 November 2022,goshamorrell,10," A tribute
","The center of ""Black Panther: Wakanda Forever""-the sequel to the hugely popular ""Black Panther,"" and a tribute to the late Chadwick Boseman-is sincere, even if the overall film feels manufactured. It begins with a funeral for the recently deceased King T'Challa. Shuri (Letitia Wright) and Queen Ramonda (Angela Bassett) are dressed in white, following the black coffin, whose top features a silver emblem of the Black Panther mask and the crossed arms of the Wakanda salute. Their mournful procession, winding through the kingdom, is contrasted with slow-motion tracking shots of dancers jubilantly dancing in memory of their fallen king. After the coffin arrives at a clearing, where it ceremoniously rises to the sky, we cut to an earnest, emotional montage of Boseman as T'Challa. The solemn, aching continuum of images soon forms the ""Marvel Studios"" logo, announcing that this is still a Marvel movie. And ""Wakanda Forever"" is all the worst for it. But writer/director Ryan Coogler and his co-writer Joe Robert Cole don't possess the same kind of freedom with this melancholy sequel. Some limitations aren't within their control, such as the tragic death of Boseman. The hulking script is chock-full of ideas and themes. Rather than fighting their common enemy (white colonists), two kingdoms helmed by people of color are pitted against each other (an idea that never thematically lands), and the film must delve into the cultural pain that still exists from the historical annihilation of Central and South America's Indigenous kingdoms. A major sea battle ensues, new, ropey gadgets are employed, and loose ends are inarticulately tied. Another montage dedicated to Boseman occurs, and while the film is messy, you're relieved that it begins and ends on the right foot. That is, until the saccharine post-credit scene. I'm not sure what Coogler was thinking. He had more weight on him for this movie than any filmmaker deserves. But when this scene occurred, I audibly groaned at what amounts to a weepy, treacly moment that's wholly unnecessary, emotionally manipulative, and partially unearned. It's one of the many instances where ""Black Panther: Wakanda Forever"" might have its heart in the right place but is in the wrong mindset and in the worst space-at the center of a contrived cinematic universe-to mourn on its own terms.",/review/rw8670186/?ref_=tt_urv
39,19 November 2022,freethinkingworld,6," After Thoughts
","I feel like my emotional anticipation for this film may have been the reason I was so disappointed in after leaving the theater. Don't get me wrong, this is not a bad movie and I don't want to sour anyone's opinion in watching it. But like with almodt everything in phase 4, temper, temper, temper your expectations. The movie at times can pay beautiful homages to Chadwick Boseman, and then in other times it builds you up and as a viewer and lover of the Marvel films, you feel like it would be a perfect time for another touching moment to reflect on Boseman's legacy, and it will totally drop the ball. And then on top of all that, the story for this feel has to be one of the weakest (except for Thor: Love & Thunder). I feel like Marvel studios thinks that if they put in enough jokes and enough comic references that we will look over lazy writing. But they are wrong! And I am deeply upset that showed that in this film most of all. Letitia Wright was amazing as ever in this film and carried it a lot. But there is only so much she can do. Not the worst in phase 4 but a very apparent drop from what Marvel used to be.",/review/rw8670186/?ref_=tt_urv
40,11 November 2022,priyagoswami-94472,10," Perfect tribute to Chadwick Boseman !
",This movie is emotional in terms of its storyline and we know why.,/review/rw8670186/?ref_=tt_urv
41,20 November 2022,sflanagan-47676,6," Not Much to Like About This One
","After waiting just over a week from release to watch this, I hadn't seen or read any previews or spoilers and I really have to say that I was disappointed in the film.",/review/rw8670186/?ref_=tt_urv
42,11 November 2022,JayDeeezy,8," Emotional, Mature Film With A Lot To Say
","This film was special. We knew it was going to be emotional, but it ended up having a lot more to say than I anticipated. Themes of loss, grief, legacy, are also intertwined with a story our world's history of invasion and war over the balance of power and resources. It was definitely a long film for a reason but there was a purpose to every scene. Overall this ended up being one of (if not the) heaviest and most emotional films of the MCU.",/review/rw8670186/?ref_=tt_urv
43,16 December 2022,Top_Dawg_Critic,7," Slightly better than the first one.
","I liked the creativity of the narrative, certainly original and refreshing, but there was still too much cheesy dialogue and scenes that took away from the story. Plus both the hero and anti-hero were not convincing whatsoever in their roles. Tenoch Huerta's acting felt like it was his first ever acting role. And pretty much every attempt at humor was a miss, and ended up being cheesy and lame, some even feeling like Fendi subliminal advertising more than anything else. Even with the fairly decent pacing, the 161 min runtime felt much longer with many bloated and unnecessary scenes. Nevertheless, I still enjoyed it more than the first film, and it's a fairly decent one-time watch.",/review/rw8670186/?ref_=tt_urv
44,12 November 2022,Xstal,8," Wakanda Awakens...
","Vibranium's been found beneath the waves, by powers who deceive and misbehave, but extraction has been cut, and their access has been shut, while Wakanda still sheds tears around a grave. A search begins to find the tool designer, the creator of the underwater miner, soon warring factions clash, warrior weapons, spear and flash, ultimatums are unleashed, from the hardliners. An invasion leads to changes at the top, a new beginning means the fighting cannot stop, it's time to ambush, trap and trick, to ensure that wings get clipped, letting water levels cede, and tides to drop.",/review/rw8670186/?ref_=tt_urv
45,20 December 2022,TheDestroia,7," RIP Chadwick Boseman
","Chadwick Boseman Tribute: 10/10
Dialogue/action balance 5/10
Humour 10/10
Musical Score 10/10
Characters 8/10
CGI 7/10",/review/rw8670186/?ref_=tt_urv
46,9 November 2022,HabibieHakim123,5," A Weak Overlong Boring Slow-Paced Of A Movie That Still Has It's Moments And Performances
","Black Panther: Wakanda Forever is a weak overlong boring slow-paced of a movie, it's NOT A BAD FILM, it's more of like a super mediocre average movie that are going super slow and nothing really exciting happening, it is mostly feels empty, the movie still has it's moments and performances, i think all the performance was great, i like some of the visual and sound, but compare to the first Black Panther not only at first the 2018 Black Panther movie feels like a celebration, this one is a grieving, so much things that are just less than the first one, the music is not as good, the fight scene is not as good, and the visual is not as good, so what do i like again about the movie, Namor i think was a pretty good villain, not the best villain ever but he was still pretty good, all the fight scene was pretty good (except the final battle i can count about only 3 or 4 fight scene for 2 hours and 41 minutes movie and yes that's another flop for me, it's too few for a movie this long), final battle was ok again not making me excited or anything, Riri Williams was alright too, i still expected more from her, and the new Black Panther suit was sweet!, not really buying the blue people, so overall i didn't hate Black Panther: Wakanda Forever like i hate Thor: Love And Thunder, and i didn't leave the theater pissed about it like i did with Thor: Love And Thunder, it is another miss twice in a row for an MCU film, a super flawed movie that feels empty, feels long, and feels bored for the most part, still has it's moments and pros in it, not a bad movie, but definitely a disappointment and still a miss.",/review/rw8670186/?ref_=tt_urv
47,9 November 2022,Gordon-11,," Paying respect with vibrancy
","This film tells the story of Wakanda having to mourn the loss of their king, while having to defend themselves from external threats.",/review/rw8670186/?ref_=tt_urv
48,14 November 2022,DoNotComeToTheCinemaDepressed,7," ""THEY CALL HIM KUKULKHAN!"" Why is Mbaku and The Rest of the Men Sidelined? Attuma Should of Been Namor because That Namor isn't Intimidating at All 😶
",There Were So Many Missed Opportunities.,/review/rw8670186/?ref_=tt_urv
49,12 November 2022,ViciousCXY,9," You can't base your feelings on this movie on the absence of Chadwick Boseman
",I've seen a few lower ratings where the biggest reason for the rating seems to be the absence of Chadwick Boseman's Black Panther; to rate your feelings on this film based on him not physically being there is just unfair. He and everyone else involved didn't really have much of a choice for him not to be in it. So what was the other options? Never make another Black Panther film? Deep fake him for the rest of his MCU appearances?,/review/rw8670186/?ref_=tt_urv
50,19 December 2022,ha77y73ad97,6," Where is marvel going
",As many i loved everything that was released by marvel up to and including Endgame. Since then i cant say the same. This is not to say that they didnt handle the death of Chadwick Boseman well. Thats honestly the only redeeming factor in this whole story.,/review/rw8670186/?ref_=tt_urv
51,13 November 2022,ethanbresnett,8," A fine way to cap off Phase IV
","Wakanda Forever has so many strong elements, definitely marking it out as one of the better films of Phase 4.",/review/rw8670186/?ref_=tt_urv
52,12 November 2022,reddiemurf81,7," You have two choices: you can come to Wakanda conscious, or unconscious.
",At the beginning of the movie we see Shuri frantically working in her lab.,/review/rw8670186/?ref_=tt_urv
53,12 November 2022,kevin_robbins,9," The depth of this movie and what it tackles in terms of grief, pride, strength and collaboration is tremendous.
","Black Panther: Wakanda Forever (2022) is a movie we saw as a family in theaters last night. The storyline follows the tragic death of Black Panther, the king of Wakanda, and the grief that is left on his people and the strength of his family to continue to lead with pride. Meanwhile, the world wants the source of Wakanda's power, vibranium. It becomes apparent another source of vibranium is available under water and the world rushes to obtain it, but the Earth doesn't know a civilization is under the Earth to protect it...a civilization stronger than Wakanda and its people. That civilization blames Wakanda for the Earth knowing about vibranium and demands Wakanda help take the world over or fall under its foot with everyone else.",/review/rw8670186/?ref_=tt_urv
54,10 November 2022,SAMTHEBESTEST,6," Refuses To Give Up After Boseman's Exit. Slow But A Steady New Rise In The Black Panther's Legacy.
","Black Panther: Wakanda Forever (2022) -
Movie Review :-",/review/rw8670186/?ref_=tt_urv
55,14 November 2022,MackMonMay87,8," Moving Tribute to a Lost King; One of Marvel's Best in a While
","2018's Black Panther remains one of my favorite MCU entries despite some script and CGI shortcomings. The sudden passing of the tremendously talented and regal Chadwick Boseman was a celebrity death that hit me hard. As a lifelong Marvel fan since childhood, it was so exciting to see such perfect casting for a comic character who had the potential to become such a huge force of culture like Spider-Man or Batman. How does a franchise recover from the undeserved and untimely passing of a core cast member? We've seen this before with legends like Bruce&Brandon Lee, and the incredible Heath Ledger. Franchises like The Crow and the follow-up Nolan-Batman movie lacked the respective presence of those performers, so we've seen how tough it can be for a film series to come back from a loss like that.",/review/rw8670186/?ref_=tt_urv
